1,548.3
2,500.54
8,324.21
10,324.21
11,89.1
12,324.21
13,324.21
15,324.21
16,500.54
17,89.1
18,324.21
23,89.1
150,118.49
377,555.87
663,324.21
665,441.85
668,501
810,529.93
811,324.21
812,441.76
814,90.71
1136,89.1
1145,192.07
1154,206.66
1321,551.97
1426,559.31
1669,1029.53
1727,557.54
1859,559.31
2067,118.49
2294,449.11
2521,544.62
2522,324.21
2840,531.77
3310,531.77
3442,559.29
3443,324.21
3445,324.21
3447,89.12
3448,191.96
3449,500.54
3459,559.31
3666,559.3
3798,530.85
4025,559.29
4026,324.21
4030,324.21
4035,558.63
4077,551.97
4349,559.21
4484,89.1
4678,555.87
5037,558.4
5038,324.21
5039,89.1
5043,382.99
5076,346.26
5082,559.09
5083,559.3
5373,1029.53
5431,559.31
5827,559.31
6316,118.49
6675,559.31
6676,324.21
7046,559.31
7178,559.29
7310,531.77
7442,89.1
7443,551.97
7446,559.26
7467,324.21
7468,442.57
7469,89.1
7470,324.21
7473,324.21
7474,89.1
7475,559.31
7476,324.21
7576,559.26
7708,531.77
7952,324.21
7953,324.21
7955,559.29
7956,324.21
7957,324.21
7958,324.21
7960,324.21
7987,559.3
7989,324.21
7990,324.21
7991,324.22
7993,544.62
7994,559.26
7995,551.97
8003,90.94
8250,555.87
8529,558.89
8661,559.29
8794,324.21
8795,544.64
8797,559.26
8799,544.62
8800,551.97
8811,558.86
8837,551.97
8852,559.21
8880,545.08
9567,504.21
9699,545.54
9831,555.76
9963,559.29
9976,558.4
9988,324.21
9989,529.93
9992,195.64
9994,558.4
9995,551.97
10082,545.54
10214,559.31
10515,89.1
11172,544.62
11173,324.21
11331,559.29
11463,555.87
11595,449.11
11727,103.8
12086,559.21
12218,531.77
12462,324.21
12463,559.3
12469,558.86
12472,89.1
12473,133.19
12823,103.8
12918,559.31
13145,558.86
13146,324.21
13164,529.93
13172,500.54
13441,559.31
13573,559.29
13705,559.31
13841,325.87
14293,555.76
14425,559.31
15121,559.26
15253,545.54
15386,544.62
15387,324.21
15388,324.21
15389,324.21
16211,324.21
16212,559.31
16214,441.76
16216,324.21
16809,324.21
16810,500.54
16812,559.31
17207,559.09
17208,89.1
17209,559.2
17232,559.31
17233,559.3
17234,89.1
17235,551.97
17320,559.31
17621,338.9
18054,324.21
18055,324.21
18069,548.3
18162,558.91
18294,559.1
18998,545.54
19252,1499.74
19479,502.38
19611,558.4
19860,118.49
20066,559.3
20769,557.59
21070,559.3
21239,559.21
21480,559.09
22184,559.29
22485,559.12
22786,89.1
22831,544.62
22833,559.26
22835,529.93
22837,529.93
22838,559.31
22870,353.6
23002,559.1
23134,559.29
23266,559.31
24021,559.31
24058,559.3
24061,551.97
24063,557.48
24065,377.25
24066,191.96
24067,500.55
24069,559.2
24070,382.99
24071,324.21
24080,89.12
24087,502.38
24101,89.1
24103,89.1
24105,324.21
24106,195.18
24107,89.1
24108,324.21
24112,558.48
24113,324.21
24117,559.31
24119,564.83
24225,552.43
24394,1029.53
24621,557.59
24708,558.86
24885,558.91
25017,559.1
25149,559.3
25281,559.21
25413,559.26
25545,559.2
25556,89.1
25694,1029.53
25752,559.31
25884,559.3
26016,559.29
26405,555.87
26854,559.3
27134,559.21
27303,504.21
27645,103.8
